Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
checked,,1,,,,,,,US 20240005465 A1,1/4/2024,89433249,17,ENHANCED VISION PROCESSING AND SENSOR SYSTEM FOR AUTONOMOUS VEHICLE,H04N23/741;G06T3/4015;H04N23/45;G06V20/56;B60R11/04;G06T5/50,G06T2207/30252;G06T2207/20221;B60R2011/0026;B60R2300/30;G06T2207/10024;G06T2207/10144,Oswald; Matthew et al.,,18/217409,6/30/2023,,,1-Jan,,"Tesla, Inc.",,,7.177637,
,1,3,,,,,,,US 20240013971 A1,1/11/2024,67983245,10,INDUCTOR WINDINGS FORMING APPARATUS AND METHOD OF MANUFACTURING INDUCTORS,H01F27/2823;H01F41/02;H01F27/02;H01F27/266;H01F27/2895;H01F27/306,Y10T29/5313;Y10T29/4902,Ricco; Tobias S.,,18/349588,7/10/2023,,,1-Jan,,"Tesla, Inc.",,,7.4662375,
,,4,,,,,,,US 20240015887 A1,1/11/2024,79686716,22,STACKED COMPONENT ARRAY STRUCTURE,H05K1/113;H05K3/3436;H05K3/3442;H05K3/328,H05K2201/10636;H05K2201/10734;H05K2201/10015;H05K2203/101;H05K2203/107,Zhao; Jin et al.,,18/255853,12/14/2021,,,1-Jan,,"Tesla, Inc.",,,6.980731,
,1,5,,,,,,,US 11876230 B2,1/16/2024,53015966,53,Dry energy storage device electrode and methods of making the same,H01G9/15;H01M4/622;H01G9/0425;H01M4/0435;H01M4/625;H01M4/623;H01M10/0525,Y02E60/10;H01M4/1393;H01M4/1391;Y02E60/13;H01M4/131;H01M4/587,Duong; Hieu Minh et al.,"Tesla, Inc.",16/939616,7/27/2020,Barcena; Carlos,,1-Jan,,"Tesla, Inc.",,,6.8833656,
,,8,,,,,,,US 20240029482 A1,1/25/2024,89576774,20,MODEL EVALUATION AND ENHANCED USER INTERFACE FOR ANALYZING MACHINE LEARNING MODELS,G07C5/06;G06N3/10;G06N3/08;G06V10/82;G06N3/0464;G06V20/56;G06V10/764;G06N3/045;G06V10/776;G06N3/091,,Emmons; John et al.,,18/355721,7/20/2023,,,1-Jan,,"Tesla, Inc.",,,7.498143,
,3,9,,,,,,,US 11888108 B2,1/30/2024,61599590,28,Prelithiated hybridized energy storage device,H01M4/1393;H01M4/625;H01M10/0525;H01M4/587;H01M4/1395;H01M4/622;H01M4/628;H01M4/043;H01M4/134;H01M4/133;H01M4/364;H01M4/382,Y02E60/10;Y02P70/50,Duong; Hieu Minh et al.,"Tesla, Inc.",17/099588,11/16/2020,Carrico; Robert S,,1-Jan,,"Tesla, Inc.",,,6.556578,
,,10,,,,,,,US 11894770 B2,2/6/2024,64362597,11,High power voltage regulator module with different plane orientations,H02M7/003;G06F1/20;G06F1/26;H02M3/156;H02M1/126,G06F2200/201,Sun; Shishuang et al.,"Tesla, Inc.",16/762481,11/7/2018,Comber; Kevin J,Quddus; Nusrat,1-Jan,,"Tesla, Inc.",,,6.64041,
,1,11,,,,,,,US 11893774 B2,2/6/2024,68393078,17,Systems and methods for training machine models with augmented data,G06V20/00;G06V10/772;G06F18/214;G06F18/2148;G06V10/774,G06V20/56,Cooper; Matthew John et al.,"Tesla, Inc.",17/644308,12/14/2021,Kretzer; Casey L,,1-Jan,,"Tesla, Inc.",,,6.8441143,
,,12,,,,,,,US 11893393 B2,2/6/2024,81942537,42,Computational array microprocessor system with hardware arbiter managing memory requests,G06F9/30036;G06F13/1689;G06F9/3824;G06F3/0631;G06F13/1642;G06N3/063;G06F15/8007;G06F3/0613;G06N3/045;G06F9/3887;G06F9/3001;G06F13/1663;G06F17/16,,Talpes; Emil et al.,"Tesla, Inc.",17/451989,10/22/2021,Vicary; Keith E,Alli; Kasim,1-Jan,,"Tesla, Inc.",,,6.748295,
,2,13,,,,,,,US 11901549 B2,2/13/2024,58191652,23,Elemental metal and carbon mixtures for energy storage devices,H01M4/1393;H01G11/86;H01M4/1395;H01M4/134;H01M10/0525;H01M4/623;H01M4/382;H01G11/52;H01M4/133;H01M4/364;H01G11/42;H01G11/50;H01M4/587,Y02E60/10;H01M10/052,Duong; Hieu Minh et al.,"Tesla, Inc.",17/819558,8/12/2022,Eggerding; Alix E,,1-Jan,,"Tesla, Inc.",,,6.8482046,
