Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
checked,1,1,,,,,,,US 11860305 B2,1/2/2024,61904356,30,Light detection and ranging (LIDAR) device having multiple receivers,G01S17/931;G01S17/86;G01S7/4813;G05D1/024;G01S17/42;G01S7/4816;G01S17/89;G01S7/4911;G01S13/931;G01S7/4818;G01S7/4817,,Droz; Pierre-Yves et al.,Waymo LLC,16/453401,6/26/2019,Hilgendorf; Dale W,"Glenn, III; Frank T",1-Jan,,Waymo LLC,,,6.287856,
checked,1,2,,,,,,,US 11860626 B2,1/2/2024,69139311,26,Vehicle sensor verification and calibration,G01S17/89;G01S7/4091;G05D1/0055;G01S13/862;G01S13/867;G01S17/42;G01S7/497;G01S7/4026;G05D1/0255;G05D1/0259;G01S13/865;G01S17/87;G01S7/52004;G01C21/20;G01S7/412;G01S7/4813;G01S13/931;G05D1/0257;G01S17/931;G01S7/40,G01S2013/93273;G01S2013/9324;G01S2013/93271;G01S2013/9323;G01S2013/93272;G01S2013/9327;G01S2013/93274,McArthur; Stephanie et al.,Waymo LLC,17/412599,8/26/2021,Ramesh; Krishnan,,1-Jan,,Waymo LLC,,,6.1476135,
checked,,3,,,,,,,US 11861481 B2,1/2/2024,69374378,13,Searching an autonomous vehicle sensor data repository,G05D1/0221;G05D1/0088;G06N3/08;G06N20/00;G06N3/045;G06N3/042;G06F16/535;G06F16/538,,Guo; Zijian et al.,Waymo LLC,16/726060,12/23/2019,Alam; Hosain T,May; Robert F,1-Jan,,Waymo LLC,,,6.173177,
checked,3,4,,,,,,,US 11860631 B2,1/2/2024,69523153,19,Detecting and responding to processions for autonomous vehicles,G06V20/584;G05D1/0088;G05D1/81;B60W30/18009;B60W60/0017,B60W2555/60;G08G1/00;B60W2554/804;G06V20/56,Silver; David Harrison et al.,Waymo LLC,17/991182,11/21/2022,Ismail; Mahmoud S,,1-Jan,,Waymo LLC,,,6.187685,
checked,2,5,,,,,,,US 11860249 B2,1/2/2024,70770720,22,Motor and rotary transformer with shared magnetic core,H01F38/18;H02K1/2791;H02K1/187;H02K11/215;G01R33/091;G01R33/072;G01S7/4811;H02K1/22;H02K1/146,G01S7/4813;G01S17/89;H02K2211/00;G01S17/931,Karplus; Paul Thomas Hansen et al.,Waymo LLC,17/961112,10/6/2022,Pham; Leda T,,1-Jan,,WAYMO LLC,,,6.216815,
checked,2,6,,,,,,,US 11861915 B2,1/2/2024,83004608,40,Pipeline architecture for road sign detection and evaluation,B60W60/001;G06V10/774;G06V20/582;G06V20/63;G06F18/2431;G06V30/10;G06V10/82;G06V10/803,B60W2420/403;B60W2555/60;B60W2720/125;B60W2720/106;B60W2710/20;B60W2420/408,Kabkab; Maya,Waymo LLC,17/466179,9/3/2021,Osifade; Idowu O,,1-Jan,,WAYMO LLC,,,6.32049,
checked,1,7,,,,,,,US 11859989 B2,1/2/2024,85288256,31,Speed reasoning in the presence of uncertainty when pulling over,B60W30/08;B60W60/0013;B60W60/0025;B60W60/0015;G01C21/3461,B60W2554/80;B60W2554/4048,Dong; Xu et al.,Waymo LLC,17/410022,8/24/2021,Antonucci; Anne Marie,Wang; Jingli,1-Jan,,Waymo LLC,,,6.3384104,
checked,3,8,,,,,,,US 11860730 B2,1/2/2024,86607496,32,"Low-overhead, bidirectional error checking for a serial peripheral interface",G06F13/4291;G06F11/0772;G06F13/4282;G06F11/1004;G06F11/3031,,Kannan; Kaushik et al.,Waymo LLC,17/542906,12/6/2021,Blair; April Y,Wahlin; Matthew W,1-Jan,,Waymo LLC,,,6.2273,
checked,,9,,,,,,,US 20240005671 A1,1/4/2024,55589033,20,Vision-Based Indicator Signal Detection Using Spatiotemporal Filtering,G05D1/0088;G06V20/584;H04N23/73;G05D1/0246;G06V20/56,B60R2300/80,Ogale; Abhijit et al.,,18/469955,9/19/2023,,,1-Jan,,Waymo LLC,,,6.617518,
checked,,10,,,,,,,US 20240003710 A1,1/4/2024,69719087,20,AMBIENT LIGHTING CONDITIONS FOR AUTONOMOUS VEHICLES,G05D1/0231;G01C21/3848;B60W60/00253;G01C21/3874;G05D1/0088;G01C21/3811;G01C21/3841;G01C21/3453;G06F16/29;G01C21/3837,B60W2420/403;B60W2556/45;B60W2556/10;B60W2555/20,Pandit; Salil et al.,,18/223321,7/18/2023,,,1-Jan,,Waymo LLC,,,6.567111,
checked,1,11,,,,,,,US 20240001841 A1,1/4/2024,72425465,35,MAINTAINING ROAD SAFETY WHEN THERE IS A DISABLED AUTONOMOUS VEHICLE,G06V20/56;B60Q1/547;B60Q1/507;B60Q1/5037;G07C5/0816;B60W50/0205;B60W60/0015;G06V20/58;G08G1/162;B60Q9/008;B60Q1/52;G08G1/166,B60W2710/20;B60W2554/4029;B60W2720/106;B60W2050/021;B60W2554/802;B60W2555/20;B60W2554/80;B60W2554/4026,Patnaik; Vijaysai,,18/369282,9/18/2023,,,1-Jan,,WAYMO LLC,,,6.761696,
checked,1,12,,,,,,,US 20240004039 A1,1/4/2024,74866015,23,Systems and Methods for Modifying LIDAR Field of View,G01S17/42;G01S7/4817;G01S17/89;G01S7/4813;G01S17/10;G02B26/101,G01S17/931,Gassend; Blaise et al.,,18/368928,9/15/2023,,,1-Jan,,Waymo LLC,,,6.7071953,
